ID,exact_weather_condition_by_accident,exact_accident_location_per_claim ,number_of_findings_with_potential_fraudster ,exact_description_of_accidents_by_photo,contact_with_potential_fraudster_mechanic
EXVB36157985944724,1,1,1,Y,N
FVIW95799925684868,1,1,4,Y,Y
IIZV42910555487327,0,1,3,Y,N
AFAK60741629481597,1,1,1,Y,Y
VWCQ65287085591200,1,0,1,N,Y
KKQU38277859087496,1,1,4,Y,Y
APAQ87821646122934,1,1,5,Y,N
FIZC59485846984110,1,0,5,Y,Y
QJFI82559271283931,1,1,5,Y,Y
MMLY62968609390545,1,1,4,Y,N
SARC26835649560684,1,1,4,Y,Y
SGPG05036952100658,1,0,3,Y,Y
XMFW49955641994293,1,0,2,Y,N
KQWZ89946673018856,1,1,4,N,N
MSNL09830422069793,1,1,2,N,Y
XBLI84109850833843,0,1,5,Y,N
DVAZ61853240501108,1,1,2,Y,Y
HJST27196936943834,1,0,2,Y,Y
PXTY74814289429074,1,1,5,Y,N
ADPQ70265060019522,1,1,5,N,Y
NBCQ00210764099202,1,0,5,Y,Y
CRYN46401128682394,1,1,2,N,Y
UUXU59859067032785,1,1,2,N,Y
SSJJ89657885118325,0,1,3,N,N
PSZO40771297269471,1,0,2,N,N
FNOY10055503973995,1,1,3,N,N
OSMV07591047067309,1,1,2,N,Y
NBIG46743278381403,1,1,2,Y,N
HPWE20745369331155,1,1,5,N,N
ZBPH08382692083491,1,0,3,Y,Y
QTCY65939884347449,1,1,1,Y,N
FAUP91686239061725,1,0,5,Y,N
AVTB74688299599888,1,1,2,Y,Y
JYXD51572376669315,0,1,4,N,Y
VARC35348851741501,1,1,5,N,N
MBMI76279902262163,1,1,1,N,Y
KNJK48700581910224,1,1,2,N,N
ICJX53711315246011,0,1,2,N,Y
LBOY00154053166521,1,1,4,N,N
TZHA91401552429657,1,1,4,N,Y
WNIB75047618017585,1,1,3,Y,Y
XRMQ64693771397065,1,0,3,Y,N
KWVE34520490686504,1,1,3,N,Y
PJQD27031780939559,1,1,4,Y,Y
EYIY95920554822332,1,1,1,Y,N
THJH47115869199940,1,1,5,Y,Y
ITCW26039889718407,1,0,3,Y,Y
IGQU96976928311845,1,1,4,Y,N
WJQN72092857307055,0,0,5,Y,Y
SEBP16387628741077,1,1,4,Y,Y
IWJX22618390082754,1,1,1,Y,Y
QYPV22711849664319,1,1,5,N,Y
GIPA22187473394063,1,1,2,N,Y
XFDU82053416065157,1,1,4,Y,N
USWC51554574059169,1,1,5,Y,Y
NQKP94293863276345,1,0,2,Y,Y
FEBD81853963876405,1,1,2,Y,N
ISHR18684138512261,1,1,5,Y,N
RNOE02063714501313,1,0,3,Y,N
IEYX79012260992772,1,1,4,Y,N
XJGO91236084233436,1,1,1,Y,Y
XFXE42958348749458,1,0,4,N,Y
CKTW63218978959122,1,1,2,Y,Y
TYCY35281954550217,1,0,1,N,Y
AISK12069729307353,0,1,4,Y,N
IAYH28210943944556,1,1,3,Y,N
TIIQ96560210142341,1,1,1,N,N
MWCT32949545430480,1,0,1,N,N
ISZD38491257544671,1,0,4,Y,Y
QOFD95041273430743,1,1,1,Y,N
NQKQ72671496276965,1,1,2,Y,N
EVIU71729790958052,1,0,2,N,Y
TEAD85424002574001,1,1,4,Y,Y
UIBM35407223725175,1,0,2,N,Y
MKHO31803177328488,1,1,5,Y,N
FTFY93440583202290,1,0,3,Y,Y
VRLN85653754205792,1,0,1,N,Y
VGZQ71826751119847,1,1,2,N,N
DJTB89291041512593,1,1,4,N,N
NTDD10226472624362,1,0,1,Y,Y
NXKF60711359660922,1,1,4,N,Y
MDCS44945264904553,1,1,5,Y,N
ZCLN85321317727352,1,1,5,Y,Y
RQOV40687641328672,1,1,2,N,Y
UZQU99029071513521,1,1,4,Y,N
UTNZ08522691864151,1,1,2,Y,N
MPJY24160763648206,0,0,3,Y,N
EJKS68758795252613,1,1,3,Y,Y
BVSF42638296513419,1,1,3,Y,Y
QGWG00364249265356,1,0,3,N,N
QKVZ63639274883534,1,0,2,Y,Y
KOTK99604578164879,1,1,3,N,N
LYFZ99974910546837,1,0,2,Y,N
HMUR47638163404665,1,0,1,Y,Y
QMRK85975732908764,1,0,3,Y,Y
CDGS44580400856372,1,1,2,Y,Y
LVQC41270676505163,1,0,5,Y,N
JIOO07049274342006,1,0,4,Y,Y
FVOX82097905158309,0,1,5,Y,Y
LJUC83390504145190,1,0,5,N,N
DNOQ32734836789271,1,0,5,Y,Y
MMQT86134142334489,1,1,2,Y,N
QPQN90937323467472,1,0,3,Y,Y
VSMX05922160159672,1,1,5,Y,Y
GFPW07435100331090,1,0,2,Y,Y
IAJD62872934520256,1,1,5,Y,N
KXGY28920663323638,1,1,4,Y,Y
TKMB94481179720333,1,0,3,N,N
KJHB67293049315167,1,0,5,N,Y
JHYL51877512837552,1,0,3,N,Y
MEDH86256077929598,1,1,1,Y,N
UAZF78572893939354,1,1,3,Y,N
LWQT00730033917903,1,1,4,N,Y
WYXP00621987122597,1,1,2,Y,Y
TOTF12449958123393,1,1,3,Y,Y
AMTA63175189767405,1,1,2,N,N
HPLY40447210137208,1,1,5,Y,N
MFFM98393948044531,0,1,1,Y,Y
WNLO10878562236791,1,1,2,Y,N
EBFB25883436282207,1,1,3,Y,N
OXYL12778127368921,0,0,2,Y,N
CIOL06647602581545,1,1,4,N,N
XTWE35584740187516,0,1,2,Y,Y
JJHR25175149327056,1,1,4,Y,Y
HTUC57384947025457,1,0,3,Y,Y
LUFI90690090069302,1,1,3,Y,Y
VYKM77389199530981,1,1,2,Y,Y
FPEW71036650358024,1,1,5,N,Y
FADN58042058439895,1,1,1,Y,N
KJDG60934695011680,1,1,4,Y,Y
SVFH01296992325064,1,1,1,Y,Y
OKMK66532371461905,1,1,4,Y,Y
SKAD79324816573347,0,1,1,Y,N
EDRA32404895868697,1,1,2,Y,Y
THDX59006717468469,1,1,4,Y,N
UYJB02759354047636,1,0,2,Y,N
EEYD87592606458740,1,1,5,Y,Y
QIOP09183642191829,1,1,4,N,N
CTTE67192901328526,1,1,5,N,Y
JJID48101026878769,1,1,2,N,Y
MIGR09378138979183,0,1,1,N,Y
IJYR09209649510227,1,0,2,N,Y
ROLI63823763891083,1,1,5,N,N
SQMD22033141790174,1,0,4,Y,Y
SREA05062785435525,0,1,4,Y,N
NLFM46378861151309,0,1,2,Y,N
KQMS76995979461047,1,0,2,Y,Y
TJVU32996221735253,1,0,5,N,Y
OATY16140801232203,1,1,1,Y,Y
SWSC63272204666208,1,1,5,N,Y
VAZB74118172269178,1,0,5,Y,N
TFKO02319942340248,1,1,2,N,Y
YIPG32129758139946,1,1,1,N,Y
QBTI85293944923019,1,0,1,N,Y
WMHJ11858045508218,1,1,4,Y,Y
FDXK45387071473186,0,0,5,N,Y
JFDU51812257726430,1,1,4,N,N
JEUV31850128023365,1,1,3,Y,Y
BNKS95834683526258,1,1,4,N,N
AGFC85423170814929,1,1,4,Y,Y
ZQVO60090833588363,1,1,4,Y,N
SWXL02139950703187,1,1,3,Y,N
OEEY14833689924166,1,1,3,Y,Y
WUVT02342839110031,1,1,2,Y,N
GEUY90994184356242,1,1,1,Y,Y
RNHA47228718109855,1,1,5,Y,Y
JDEW08567273623934,1,1,5,Y,Y
LHUQ01655632937391,1,1,3,Y,Y
BNEO16625545687493,1,1,1,Y,Y
XWRF89420619498746,1,1,4,N,Y
CULK64581042786037,1,1,2,Y,N
MKZO40529491130743,1,1,2,N,Y
UGZG36048744320246,1,0,5,Y,N
PJKK43025916250720,1,1,4,Y,N
YSDL25998194518916,1,0,5,N,N
QDPF28512583182664,1,1,4,Y,N
LDJX53241404693838,1,1,3,Y,Y
LDSQ53989342653240,1,1,2,Y,Y
KUTE12404835528519,1,1,3,Y,Y
BLHU86901399774710,1,0,2,Y,Y
CBOM65825200729309,1,1,3,N,Y
OOXE34918753035870,1,1,1,Y,N
DFJJ36486394737158,1,0,1,Y,N
ZTGF23056427113651,1,0,2,Y,Y
IUHW36964637195739,1,1,3,Y,Y
ZUAO19894941086545,0,1,1,Y,N
TCVZ50344904001121,1,1,4,Y,N
BQJP05465722025274,1,1,1,Y,Y
SJVS61571300207892,1,0,1,Y,N
WERA44152093609994,1,1,4,Y,Y
ODPW61650076874959,1,1,3,Y,Y
QZOQ26312606621113,1,1,1,Y,N
GUJM09558156532289,1,1,5,N,N
NMKE27585480398026,1,1,4,Y,Y
CPMB00995257299471,1,1,5,Y,Y
LXDK29326041533878,1,0,2,Y,N
QAQB03433820103503,1,1,4,Y,N
PXEM54495023915614,1,1,2,Y,Y
EFGS90410927446512,0,1,2,Y,Y
BFZG20399598531102,1,0,1,Y,Y
RVDD67388128459932,0,1,4,Y,N
YBPH17484565299620,1,1,5,Y,Y
DRPL74003216601901,1,0,5,Y,Y
EVVE58446489552551,1,1,3,Y,Y
JVBZ79854722809205,1,1,5,Y,Y
KAGK15798589775431,1,1,5,Y,N
YPIC48106735624713,1,1,1,Y,Y
QYAT29942750369771,1,0,5,Y,N
RGDE55776517916320,1,0,1,Y,N
SKXD49335611848288,1,1,5,N,Y
HRGQ90309148211133,1,1,3,Y,N
YPWM42054566446168,1,1,5,Y,N
HIDF30994468409847,1,1,3,Y,Y
IHSC41396175020046,1,1,4,Y,Y
VNQZ03781199648189,1,0,2,N,Y
AUWL49799295632691,1,1,5,Y,N
ILHL38336797439856,1,1,1,Y,N
GBTQ36087412488189,1,1,4,Y,N
QGKG68258702767308,1,1,2,Y,N
CPKS25428733677307,1,0,2,Y,Y
UMHF10765817518126,0,1,5,Y,Y
DUDW73804173275067,1,1,5,N,Y
PGDG99552859944929,1,1,4,Y,Y
BAVS53749550664110,1,1,1,Y,Y
XVVQ02620776356975,1,0,1,Y,Y
FANY53006099340976,1,1,1,Y,Y
BQOI90735353662961,1,1,4,N,N
SDSW12027987514560,1,1,3,Y,N
AJLA52766183487207,0,1,3,Y,N
EWVF61572350713231,1,0,5,Y,Y
SHSG04892665897750,0,1,1,Y,Y
UTOZ07602791492225,1,1,3,N,Y
LRKX81978958708577,1,1,2,Y,Y
RAHH78532879984512,1,1,1,N,N
ZMYH62721520199572,1,0,2,Y,Y
OKXB56399922942417,1,1,2,Y,N
JMXW68784488609085,1,0,4,Y,N
UZUV97099140533379,1,1,5,Y,Y
PIFZ59954837171705,1,1,3,Y,N
LYZO37207095128146,1,0,4,Y,N
RIBW69854797253590,1,1,2,N,Y
CRKG56509870454971,1,0,2,N,N
YRLR88217109354299,1,1,1,Y,Y
OCTQ53640025572590,1,0,2,Y,Y
KUFO81307146127895,1,1,3,Y,Y
OVHO88350946020136,1,1,5,Y,Y
MHCB30280244668514,1,1,4,N,Y
GYCQ75474464371177,1,1,4,Y,N
AMRH50486221804549,1,0,1,Y,N
PGQF71705213960576,1,1,5,Y,Y
NLIM86150013581081,1,1,1,N,Y
MFBX87888038108339,0,1,2,Y,N
AYKG36595515250677,1,1,1,N,Y
JTMV03233139408118,0,0,1,N,N
KOES45484421392435,1,0,2,Y,Y
FFXB45224428406238,1,0,5,Y,Y
ZFOJ98287405706956,1,1,3,Y,N
YALY01850421926915,1,1,2,Y,Y
FHZI88011776243469,1,0,4,Y,Y
ZFJL10430406790083,1,1,2,N,N
LOKV26271073928283,1,1,5,Y,Y
HKSO26064419020656,1,0,3,Y,Y
NMWX26692666738827,1,0,1,Y,Y
VEIJ23338273045914,1,0,2,N,N
EUDT67901277765230,1,0,5,Y,N
EDWL82901935610531,1,1,4,Y,N
LQRS02272402214689,1,1,3,Y,N
PJTQ67352203074732,1,1,4,N,Y
BCGT31875978541374,1,1,5,Y,Y
UXSN59956314900097,1,0,2,Y,Y
KNYF52284614451006,1,1,3,Y,N
QDKE50059315352389,1,1,1,Y,Y
HKCT68204510912957,1,0,4,N,N
AFSX37517667883923,1,0,4,Y,Y
JCKS04518482900104,0,0,2,N,Y
OEFM08741850180463,1,1,2,Y,N
IXDL02403756877654,1,1,5,Y,Y
GSON85445385246564,1,1,2,Y,Y
CKRY74863966003645,1,1,3,N,Y
XVJG65466458674493,1,1,3,Y,Y
PSCO22298462566595,0,1,2,Y,N
VAQW99044444703090,1,0,3,Y,N
TGSV73614684265387,0,1,5,Y,Y
XCLK69333548531673,1,1,5,Y,N
QXWN68350166174263,1,1,1,Y,N
ERPP73601822804299,1,0,5,Y,N
GPDK44657535769964,1,1,5,N,N
ZLFD27612026328060,1,1,3,Y,Y
JTGR53686176119886,1,1,5,N,Y
NUSE21636484726252,1,1,1,Y,Y
PBNX14474372752218,1,1,5,Y,Y
WLDT19049005250001,1,0,4,Y,N
PPME28977344783809,1,1,1,Y,N
WQFP67881555962511,1,1,3,N,Y
BUJP79381452820463,1,1,1,Y,Y
EAKH67568273210994,1,1,4,N,N
OOWQ02966849159717,1,1,1,Y,Y
YWFB95298200813363,1,1,4,Y,Y
NADG10190668034871,1,1,4,Y,N
KFUN87383890214542,1,1,4,Y,Y
MXXF44085081530112,1,1,2,Y,N
JTSY94475531454500,1,1,5,Y,Y
TVKH77441570530055,1,1,3,N,N
KILE49221551682741,1,1,2,N,Y
KKYM47016572730645,1,1,1,Y,Y
KIZW66526887902607,1,1,5,Y,Y
NTOH37673553164326,1,1,2,Y,N
TYZF51890603768043,1,1,1,Y,N
KFNB42623948398861,1,1,4,Y,Y
XJQC27810744009404,1,0,1,N,N
MNDY23471922717991,1,0,5,N,N
LTHS82586584636552,1,1,3,Y,N
OCKF84062263173687,1,1,3,Y,Y
BWOX93693465480729,1,1,2,N,N
TZYJ19358419606215,1,1,5,N,Y
BRJM97506191463946,1,1,3,Y,Y
FJXY77768205567088,1,1,5,Y,N
KKRA14216426467332,1,1,1,Y,Y
DBTP09714137096473,1,1,4,N,Y
XERR37291144340684,1,1,3,N,N
NLMM27365621765717,0,1,1,Y,N
NOKS88091190752327,1,1,5,Y,N
IWUI01762701110865,1,0,1,N,Y
AGXD16494272685336,0,0,1,N,Y
CZFT41642372810600,1,0,3,N,N
UZSL33579224444362,1,1,2,Y,Y
ZTLT01458378841625,1,1,4,Y,N
SVHQ56190196827467,1,1,2,Y,Y
HKWW52517078892942,1,1,2,Y,Y
PFNY43615474711693,0,1,3,N,Y
OQOS46134606231640,1,0,1,Y,N
BVJT84675507331921,1,1,1,Y,N
ESGT19194377899544,1,1,3,Y,Y
LTAN55080921443943,1,1,5,Y,N
YHXB29261275465498,1,1,2,Y,Y
LXVZ86337189219738,1,1,1,Y,N
SEWI08501810275963,1,0,5,N,N
LNIB75577504675454,1,1,5,Y,N
UDWZ26966839359833,1,0,4,Y,Y
AGJP38835560075916,1,1,4,N,Y
KTWP02226890554119,1,1,1,N,Y
IAQT66191451576386,1,1,2,N,N
MEVM44406306266313,1,1,1,Y,Y
XWIP31928509401402,1,1,2,Y,Y
KHVG51390422619866,1,1,1,Y,N
HGFR56614108654061,1,1,4,Y,N
JAIQ18647512140546,1,0,5,Y,Y
OAIB74119899386668,1,1,1,N,Y
AEPF72516342355678,1,1,1,Y,Y
FPTR24276243006435,1,1,4,Y,Y
NEOR39710962029308,1,1,2,N,Y
BONB76083235174508,1,1,2,N,N
AKQR80191500653560,1,1,2,Y,Y
OLYE57757259958727,1,1,4,N,Y
QHAB60273570255557,1,0,4,Y,Y
RHAA89876113434155,1,1,3,Y,Y
MZET52194342343013,1,0,4,Y,Y
ASOS91391808386836,1,1,2,Y,Y
VMGP87901288643985,1,1,4,Y,Y
INKI06833189622062,1,1,1,Y,Y
ISDK53103257442026,1,1,5,Y,N
WRZM23169951225384,1,1,5,Y,N
SWRY52057321986329,1,1,5,Y,N
JMCO13255146737305,1,0,2,Y,Y
CVDX90328512304497,1,0,4,Y,Y
ARGD67833462047062,1,1,4,Y,Y
NAAR09315446458557,1,1,4,Y,N
LLPQ91773091576565,1,0,1,Y,Y
BLBI23455218048358,1,1,1,N,N
MVTC62782232133480,1,1,5,Y,N
XCAP41920750162388,1,1,4,N,N
URPK61669055586294,1,1,3,Y,N
ZAZT74525020006207,1,1,1,Y,Y
OBEN32866577240881,1,1,2,Y,N
MFUV33255666260222,1,1,1,N,Y
HURY19430261681565,1,1,3,Y,Y
WDQT59484820977790,1,1,3,Y,N
NMLW30037264930828,1,1,4,N,N
GCUQ56657459117815,1,0,1,N,Y
QUIT37693152810891,0,1,3,Y,Y
BJFA71103060295017,1,1,1,N,Y
VYFR07558590575528,1,1,1,Y,N
GCUC41365349732683,1,1,1,N,Y
FBVE43124879958457,1,0,5,N,N
LKND81544160065192,1,0,1,Y,Y
JCKD22014947063371,1,1,1,Y,N
SSVG35361724651064,1,1,1,N,Y
EODE81202844384556,1,1,3,N,Y
CSEU21746571610163,0,0,2,Y,Y
HWPP17468663929949,0,1,2,Y,Y
GLYL73233104308494,1,1,4,Y,N
FPDD01341490313880,1,1,1,Y,Y
KROE38489692775967,1,0,4,N,N
PGYI37984643372309,1,1,5,Y,Y
TAKQ41591121555328,1,0,4,Y,Y
HRYH21436004068740,0,1,4,Y,N
BIBQ72262499345300,1,1,5,Y,Y
VVUW75559294671357,1,1,5,N,N
VFQN23344445765651,1,0,1,Y,N
TQAQ62356841709976,1,1,3,Y,N
DYOX29610032349552,0,0,4,Y,N
FPRR65890697209681,1,0,1,Y,Y
XRSA59979729967601,1,1,5,Y,Y
XDIJ32561993302044,1,1,3,Y,N
IHWV00262059224095,1,1,4,N,N
SEQJ46448846818223,1,1,1,Y,Y
MQEI73496631471193,1,1,2,Y,Y
LOKV59893307080437,0,1,3,Y,Y
WMMV04543718355675,1,1,4,N,Y
VYWL02964685014331,1,0,1,N,Y
RSNY55050039409491,1,1,5,Y,N
DIIN65781948177812,0,1,3,Y,N
WGZM97387189087492,1,1,4,Y,Y
KUXB99253561283556,1,1,5,Y,N
RDRF82793582036820,1,0,3,N,Y
FAXU65579124004477,0,1,1,Y,Y
LWAE10707698786519,1,1,3,N,Y
ILPZ56277267238240,1,1,5,N,N
OBCG48748186956314,1,1,2,Y,Y
FVQP84789877807864,1,1,3,Y,Y
LJMO56410800327917,1,1,5,Y,N
ECGR33280805307912,1,1,5,N,Y
YCII75344216477053,1,1,2,Y,Y
OKUJ14261664316016,1,1,5,Y,N
FOMF93665491995331,0,0,1,Y,N
EUSE49909611679449,1,1,4,N,N
YYUI23311571059101,1,0,3,N,Y
NXCE00201334031854,1,1,3,N,N
RMSD73493632043797,1,1,2,N,N
BAYH54404420404887,1,0,4,Y,N
DYNG53491825261847,1,1,2,N,Y
QXAH06970863592321,1,1,5,Y,Y
TIPL54292232571935,0,1,4,N,Y
GASL37609470427468,1,1,4,Y,N
WVQD64657557582955,1,1,3,Y,Y
DSIE22274399753332,0,1,3,Y,N
ALXB93440257822678,1,1,2,Y,N
SRNR84044937512539,1,0,4,Y,Y
OGIW44888038131563,1,1,5,Y,N
KCFQ20261890907602,1,1,5,N,Y
VDLG57799280404320,1,1,1,N,N
TCHQ59388588383448,1,1,2,Y,Y
KQBM39333230923066,1,1,3,Y,Y
PMXF11870243282611,1,1,5,Y,Y
OFDT20348141080281,1,1,3,Y,Y
JFUY10793692785922,1,1,5,Y,Y
IWXV79037770261149,1,1,4,Y,Y
BURH02434042693215,1,1,2,N,Y
KOPL09652890054003,1,0,5,Y,N
VCEW45587867689376,1,1,5,Y,Y
RMRR78385778731185,1,1,2,Y,Y
TWLA23184613980068,0,1,3,Y,N
IPUO27688204239787,1,0,5,N,Y
XZAO13847312085769,1,1,5,N,Y
FVDO93129481162183,1,0,2,N,Y
MVTS36759017707866,1,1,4,N,N
DQCU30530017997377,1,0,2,Y,Y
JSYC13492920140539,1,0,5,N,Y
KWOS79329165027091,1,1,2,N,Y
YGSU37659484710876,1,1,5,Y,Y
XLTC71761004560188,1,0,5,N,Y
BJLM99364926504869,1,1,2,Y,Y
NFVZ64785818004153,1,0,5,Y,N
JEXJ49078137321092,1,1,5,Y,Y
MDBE40928418840905,1,1,5,N,N
NNYW03028816420785,1,1,5,Y,Y
CRIF75614912478553,1,1,2,Y,N
BZBM97691825787387,1,1,1,Y,Y
JAQO82111121516667,1,1,2,Y,Y
XKEN42512796165802,1,1,1,Y,N
DDBN38778712017288,1,1,2,Y,N
XTVT41831873354813,1,0,2,Y,Y
RHKI11085312860870,1,1,1,Y,Y
BGVT54543202954493,1,1,4,Y,Y
CWLO65167657410556,1,0,2,Y,N
KTIE50658497222161,0,1,2,Y,Y
IITV68282462961680,0,1,4,Y,Y
WWDW19173218229013,1,1,2,N,Y
OFAI37556048773387,1,1,1,N,Y
AEZD67484257951752,1,1,5,Y,Y
EKOH64830696762053,1,1,4,Y,Y
SRHX23679009046015,1,1,4,Y,Y
RIBY05025875852325,1,1,4,Y,N
NTZD59030636454532,1,1,4,Y,Y
OSCL13469104872674,1,1,3,Y,Y
FNZR14958217156368,1,1,4,Y,Y
GNNJ67531463805378,1,1,5,N,N
DDPV24712935455262,1,1,2,Y,N
QJVQ22424518414851,1,0,2,Y,N
INKE73703057451153,1,0,2,Y,Y
CRWA94340165179259,1,1,4,Y,N
IKBO34377439144082,1,0,5,N,N
ETUA93032424999601,1,1,1,N,Y
JLZL08147727905727,1,1,5,N,Y
VLRI71123732004510,1,1,4,Y,Y
NJJT47418745420067,0,1,1,Y,Y
BFOT72666792142450,1,0,5,Y,Y
UIZG47364466628671,1,0,1,Y,N
VMLZ06987181393436,0,0,4,Y,N
EUMS38790910527114,1,1,3,N,Y
HKYR59616496960009,0,1,4,Y,N
TYXE38419350960544,1,1,4,Y,Y
IRTI50481292647459,1,1,4,Y,Y
QIBH13043470449938,1,0,1,N,N
ZIEW42657440424089,1,1,2,N,N
BJPL33262661783360,1,0,2,N,Y
HDOF11207693968895,1,1,5,N,Y
NGNA63528056092669,1,0,4,Y,Y
VPLL42489007986561,1,1,4,Y,Y
QSJM90326721642943,1,0,5,N,Y
EFLQ06942792661250,1,1,5,N,Y
QOHL55660778586209,1,0,2,Y,Y
DHVF94697612424445,1,1,4,Y,Y
SXYK02285376736353,1,0,5,Y,Y
OMSZ28075892612154,1,1,3,Y,Y
XQIS08747399718387,1,1,1,Y,Y
KXZR14500785852796,1,0,2,Y,N
SCAL12143389860588,1,0,4,Y,Y
JEYL36378504594997,1,0,4,Y,Y
SSMD61126374975416,0,1,3,N,Y
HPUJ87839389142151,1,1,5,Y,Y
IZPZ41416147794359,0,1,1,Y,Y
LDPY79625392632119,1,0,2,N,Y
ZLAQ71010518298366,1,1,1,N,N
ADPV25218626812022,1,1,2,Y,Y
QIEI52191743472977,1,1,1,Y,N
DZWC76713587772122,1,1,1,N,Y
DTAL84921354191568,1,1,3,Y,N
ODYH29830846339768,1,0,5,N,Y
NGPE50343850617230,0,1,2,Y,Y
PQFW39743529769529,0,1,4,N,N
JTHB52948622305657,1,1,3,N,Y
XOLG00584531551942,1,1,5,Y,Y
UUNO26276659987002,1,1,1,Y,Y
YVJN07867213861642,1,1,4,N,Y
LOQY61225605468911,0,1,5,Y,N
JDEL10859353339700,1,0,1,Y,N
MZNZ36601165752589,1,1,2,Y,Y
RARN48937673376435,1,0,4,N,N
JZEF99229542189732,0,0,3,N,N
EXQL98499821330602,1,1,1,Y,N
XVBI14389965192315,1,0,2,Y,Y
REXH30284256991901,1,1,3,Y,N
JYRL19025885033364,1,0,2,Y,Y
YRPN30933642142416,1,0,3,Y,N
DNJJ38828290094133,1,1,3,Y,Y
HZIG25763830478563,1,0,4,N,Y
KHWS57213139419543,1,1,3,Y,N
XVYP29120114460102,1,1,1,N,N
JUSZ24004900952082,1,0,3,Y,N
VEZG00466652100377,1,1,4,N,N
FNBD88857147499918,1,0,2,Y,N
JKIY46092724625011,1,1,3,Y,Y
SRFA15967248644030,1,1,2,N,N
KHGW55151875846822,1,1,2,N,Y
SOKL47826333568512,1,1,1,Y,Y
KUEF46915808020150,1,0,4,N,N
LAQH22824670940992,1,1,3,N,Y
LQYM97782615797714,1,0,2,N,N
UXMF66156019653779,1,1,1,Y,N
BNWV16386920272844,0,1,4,Y,Y
OUUA54570101657747,1,1,5,Y,Y
SAYM96670868637147,0,0,2,N,Y
KAJZ70783507776383,1,1,2,Y,Y
HORX84316900342854,1,0,4,N,Y
UNFZ04720644469097,1,1,5,Y,N
YLKF71556031663792,1,0,3,Y,Y
CWZN52740918705247,1,1,4,N,Y
IWKZ67851883326686,1,1,5,N,Y
RIBY01697859582307,1,1,5,Y,N
RUWZ99805883343982,0,1,5,Y,Y
GXDY67712944489726,1,1,3,N,Y
CKTR42471228258774,1,0,4,N,Y
SURT96280288543076,1,1,2,Y,Y
TKPM86863295810983,1,1,5,N,Y
HOBD02116754164937,1,0,2,Y,Y
GJMB15026427396756,1,0,5,Y,Y
BDEP25099614064023,1,1,2,Y,N
SDEG25984795796338,1,1,3,Y,Y
VIEC28420913198439,1,1,2,Y,N
SHLU55123044214408,1,1,3,Y,N
DNIB17357841969354,1,1,3,Y,N
NJNM74674825676134,1,0,2,N,N
KRVE29571194322149,1,0,5,Y,Y
CKBH11406635669411,0,1,4,Y,Y
UAFI14111515282633,1,1,3,N,Y
MXXT14510229957812,1,1,5,N,N
CHFW23581682224583,1,1,4,Y,N
HEJT05084217282123,1,1,3,N,N
FNRM47259465540758,1,0,5,Y,N
SEQF50778050363339,1,1,5,Y,N
PPMG75465089856133,1,1,3,Y,Y
YYVO03965355155062,1,0,2,Y,Y
ZWHN29306962654537,1,0,2,Y,Y
GTVZ54060584800487,1,1,2,N,N
XFWI76122179513984,1,1,5,Y,Y
BVRJ41381322259817,1,1,4,Y,Y
DNTV64723695285875,1,0,5,N,Y
TCKF07185985569781,1,1,5,Y,N
CWTR26290137899812,1,1,3,Y,N
XYDX63193720793017,1,1,4,Y,Y
IMNU89947798938499,1,1,2,Y,Y
LLBQ55054917818551,1,0,5,Y,N
IAAS47644026782270,1,1,3,Y,N
BRJC57952673567280,1,1,5,Y,Y
RKHR36920333888876,1,1,1,N,Y
KLUN39300700995146,1,1,5,N,Y
SUMM12438660957755,1,1,2,Y,Y
KKVF68030981917428,1,1,2,Y,Y
VBVW28685566630756,1,1,1,Y,N
EXKW80456109299948,0,1,1,Y,N
IMSL85248582985100,0,0,3,Y,N
QOIU09517442536999,1,1,5,N,Y
XUQR82284127943724,0,0,4,Y,Y
KURP35004983396800,1,1,5,N,N
LSJH09539486017759,1,1,1,N,Y
BOBM56042107722604,1,0,2,Y,N
PEGD14401806239592,1,1,3,Y,Y
ZXNS91525757268055,1,1,4,N,Y
GIBB83082645211472,1,1,5,Y,Y
UJST79991936032932,1,1,4,Y,Y
FODB61825626949835,1,0,1,Y,Y
RLRD16703417790860,1,1,2,Y,Y
VFKJ95884533224904,1,1,1,N,N
CBWA03408480385559,1,1,1,Y,Y
ERRB38765940327485,1,1,5,Y,Y
SQLD60995037033023,1,0,5,Y,Y
MXJQ36974499555947,1,0,5,Y,Y
DOPW86359163255081,1,1,3,Y,Y
DTVR39001037863268,1,0,4,Y,N
YYWQ99649635173814,1,1,1,Y,Y
SQWT93753477522626,1,1,2,Y,Y
HNAG68395917253535,1,1,2,Y,Y
ZTMA29684768564223,1,1,5,Y,Y
KCHK04906325694917,1,0,5,Y,N
RERC60021750394238,1,1,4,Y,Y
IJJV26678587173828,1,0,3,Y,N
GRJY27208640856519,1,0,3,Y,N
RTBW98135393981802,1,1,3,Y,Y
BRVF04707454787016,1,1,3,Y,Y
HPPE77510322871728,1,1,1,Y,Y
RSFB06952210254705,1,0,3,Y,Y
JGQQ35649773429829,1,1,5,N,Y
PVCX14524596971656,1,0,4,N,Y
DHKI27378122076928,1,1,4,Y,N
XDTU26751993754226,1,1,3,N,Y
GPNE99281181237090,1,1,1,Y,N
GQIC53489043588859,1,1,3,N,Y
UOJX87777324007266,1,1,2,Y,Y
EJVF29383853587537,0,1,4,Y,N
ZRPI19282292987148,1,1,4,Y,Y
